pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-03 00:10:38.000000 UTC,2019-01-03 00:15:30.000000 UTC,2,0.94,82
2019-01-03 00:10:59.000000 UTC,2019-01-03 00:34:58.000000 UTC,1,7.3,80
2019-01-03 00:11:02.000000 UTC,2019-01-03 00:29:34.000000 UTC,1,4.37,83
2019-01-03 00:11:04.000000 UTC,2019-01-03 00:19:17.000000 UTC,2,3.1,223
2019-01-03 00:11:49.000000 UTC,2019-01-03 00:22:40.000000 UTC,1,1.85,82
2019-01-03 00:11:56.000000 UTC,2019-01-03 00:17:58.000000 UTC,1,1.3,210
2019-01-03 00:12:06.000000 UTC,2019-01-03 00:24:23.000000 UTC,1,2.54,255
2019-01-03 00:12:32.000000 UTC,2019-01-03 00:15:47.000000 UTC,1,0.64,49
2019-01-03 00:12:43.000000 UTC,2019-01-03 00:13:49.000000 UTC,2,0.27,25
2019-01-03 00:12:43.000000 UTC,2019-01-03 00:13:49.000000 UTC,2,0.27,25
2019-01-03 00:12:55.000000 UTC,2019-01-03 00:16:00.000000 UTC,1,0.82,244
2019-01-03 00:12:56.000000 UTC,2019-01-03 00:19:37.000000 UTC,1,1.11,260
2019-01-03 00:13:00.000000 UTC,2019-01-03 00:17:19.000000 UTC,1,1.02,65
2019-01-03 00:13:08.000000 UTC,2019-01-03 00:25:45.000000 UTC,1,2.94,256
2019-01-03 00:13:11.000000 UTC,2019-01-03 00:23:10.000000 UTC,1,2.84,260
2019-01-03 00:13:11.000000 UTC,2019-01-03 00:14:27.000000 UTC,1,0.7,265
2019-01-03 00:13:15.000000 UTC,2019-01-03 00:16:46.000000 UTC,1,0.6,74
2019-01-03 00:13:15.000000 UTC,2019-01-03 00:18:05.000000 UTC,1,0.98,179
2019-01-03 00:13:16.000000 UTC,2019-01-03 00:19:29.000000 UTC,5,1.33,7
2019-01-03 00:13:40.000000 UTC,2019-01-03 00:17:01.000000 UTC,1,0.64,129
2019-01-03 00:13:50.000000 UTC,2019-01-03 00:24:31.000000 UTC,2,1.36,82
2019-01-03 00:13:54.000000 UTC,2019-01-03 00:23:55.000000 UTC,1,1.9,41
2019-01-03 00:13:59.000000 UTC,2019-01-03 00:19:38.000000 UTC,1,1.09,95
2019-01-03 00:14:04.000000 UTC,2019-01-03 00:27:29.000000 UTC,1,3.7,255
2019-01-03 00:14:05.000000 UTC,2019-01-03 00:29:50.000000 UTC,1,3.9,181
2019-01-03 00:14:13.000000 UTC,2019-01-03 00:20:15.000000 UTC,1,1.47,152
2019-01-03 00:14:14.000000 UTC,2019-01-03 01:18:19.000000 UTC,1,11.21,25
2019-01-03 00:14:15.000000 UTC,2019-01-03 00:22:50.000000 UTC,1,3.96,66
2019-01-03 00:14:46.000000 UTC,2019-01-03 00:23:28.000000 UTC,5,2.93,65
2019-01-03 00:14:47.000000 UTC,2019-01-03 00:15:12.000000 UTC,1,0.7,265
