pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-02 00:00:02.000000 UTC,2019-01-02 00:16:42.000000 UTC,2,7.7,256
2019-01-02 00:00:09.000000 UTC,2019-01-02 00:38:39.000000 UTC,5,13.21,61
2019-01-02 00:01:06.000000 UTC,2019-01-02 00:13:15.000000 UTC,2,3,244
2019-01-02 00:01:16.000000 UTC,2019-01-02 00:05:12.000000 UTC,1,0.68,188
2019-01-02 00:01:17.000000 UTC,2019-01-02 00:01:22.000000 UTC,2,0,66
2019-01-02 00:01:25.000000 UTC,2019-01-02 00:13:43.000000 UTC,1,3.03,255
2019-01-02 00:01:28.000000 UTC,2019-01-02 00:09:02.000000 UTC,2,2.53,7
2019-01-02 00:01:30.000000 UTC,2019-01-02 00:08:08.000000 UTC,1,1.63,255
2019-01-02 00:01:54.000000 UTC,2019-01-02 00:07:06.000000 UTC,2,0.05,130
2019-01-02 00:01:54.000000 UTC,2019-01-02 00:07:06.000000 UTC,2,0.05,130
2019-01-02 00:01:55.000000 UTC,2019-01-02 00:25:49.000000 UTC,5,6.52,80
2019-01-02 00:02:01.000000 UTC,2019-01-02 00:09:10.000000 UTC,1,1.6,74
2019-01-02 00:02:05.000000 UTC,2019-01-02 00:09:24.000000 UTC,1,1.57,65
2019-01-02 00:02:27.000000 UTC,2019-01-02 00:21:36.000000 UTC,1,3.27,177
2019-01-02 00:02:27.000000 UTC,2019-01-02 00:12:36.000000 UTC,1,2.96,65
2019-01-02 00:02:33.000000 UTC,2019-01-02 00:11:09.000000 UTC,1,3.2,223
2019-01-02 00:02:52.000000 UTC,2019-01-02 00:07:12.000000 UTC,1,1.02,82
2019-01-02 00:02:57.000000 UTC,2019-01-02 01:04:23.000000 UTC,5,26.81,228
2019-01-02 00:03:15.000000 UTC,2019-01-02 00:18:42.000000 UTC,1,3.11,260
2019-01-02 00:03:17.000000 UTC,2019-01-02 00:08:24.000000 UTC,1,1,7
2019-01-02 00:03:36.000000 UTC,2019-01-02 00:18:38.000000 UTC,1,5.28,75
2019-01-02 00:03:38.000000 UTC,2019-01-02 00:06:14.000000 UTC,1,0.49,82
2019-01-02 00:03:45.000000 UTC,2019-01-02 00:14:40.000000 UTC,1,2.34,80
2019-01-02 00:03:46.000000 UTC,2019-01-02 00:18:16.000000 UTC,1,2.44,82
