pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id
2019-01-01 00:00:00.000000 UTC,2019-01-01 06:13:51.000000 UTC,2,2.42,193
2019-01-01 00:00:05.000000 UTC,2019-01-01 00:12:04.000000 UTC,1,2.2,25
2019-01-01 00:00:06.000000 UTC,2019-01-01 00:03:06.000000 UTC,1,0.7,7
2019-01-01 00:00:11.000000 UTC,2019-01-01 00:06:40.000000 UTC,1,1.4,82
2019-01-01 00:00:15.000000 UTC,2019-01-01 00:11:28.000000 UTC,1,5.17,42
2019-01-01 00:00:51.000000 UTC,2019-01-01 00:03:15.000000 UTC,1,0.4,116
2019-01-01 00:01:00.000000 UTC,2019-01-01 00:06:27.000000 UTC,1,1.43,82
2019-01-01 00:01:17.000000 UTC,2019-01-01 00:21:33.000000 UTC,1,3.08,106
2019-01-01 00:01:21.000000 UTC,2019-01-01 00:08:45.000000 UTC,1,1.21,97
2019-01-01 00:01:21.000000 UTC,2019-01-01 00:11:08.000000 UTC,1,1.75,82
2019-01-01 00:02:06.000000 UTC,2019-01-01 00:18:31.000000 UTC,1,2.84,255
2019-01-01 00:02:16.000000 UTC,2019-01-01 00:32:40.000000 UTC,3,6.05,80
2019-01-01 00:02:16.000000 UTC,2019-01-01 00:12:29.000000 UTC,1,2.06,173
2019-01-01 00:02:44.000000 UTC,2019-01-01 00:08:44.000000 UTC,2,0.97,82
2019-01-01 00:02:51.000000 UTC,2019-01-01 00:06:43.000000 UTC,0,0.9,65
2019-01-01 00:03:02.000000 UTC,2019-01-01 00:13:15.000000 UTC,1,2.38,243
2019-01-01 00:03:07.000000 UTC,2019-01-01 00:13:49.000000 UTC,1,1.6,82
2019-01-01 00:03:11.000000 UTC,2019-01-01 00:08:26.000000 UTC,1,0.78,74
2019-01-01 00:03:12.000000 UTC,2019-01-01 00:05:30.000000 UTC,1,0.4,41
2019-01-01 00:03:18.000000 UTC,2019-01-01 00:13:10.000000 UTC,1,2.49,95
